provider_id,provider_name,specialty,region
PR0001,"Rodriguez, Figueroa and Sanchez Associates",Behavioral Health,West
PR0002,Doyle Ltd Medical Group,Endocrinology,West
PR0003,"Mcclain, Miller and Henderson Clinic",Behavioral Health,Midwest
PR0004,Davis and Sons Health,Behavioral Health,Midwest
PR0005,"Guzman, Hoffman and Baldwin Medical Group",Endocrinology,Southwest
PR0006,"Gardner, Robinson and Lawrence Associates",Endocrinology,Midwest
PR0007,Blake and Sons Medical Group,Radiology,Southeast
PR0008,"Henderson, Ramirez and Lewis Associates",Endocrinology,Southeast
PR0009,Garcia-James Medical Group,Emergency Medicine,Southwest
PR0010,Abbott-Munoz Clinic,General Surgery,West
PR0011,Blair PLC Medical Group,Nephrology,Midwest
PR0012,Dudley Group Associates,General Surgery,Southwest
PR0013,Arnold Ltd Associates,Orthopedics,Southwest
PR0014,"Mcclure, Ward and Lee Health",Nephrology,West
PR0015,Williams and Sons Health,Orthopedics,West
PR0016,Galloway-Wyatt Health,Nephrology,Southeast
PR0017,James Group Medical Group,Oncology,Southwest
PR0018,"Flowers, Martin and Kelly Clinic",Cardiology,Northeast
PR0019,"Adams, Zuniga and Wong Medical Group",General Surgery,Southeast
PR0020,"Reid, Ferguson and Sanchez Associates",Oncology,Southwest
PR0021,Gray-Mayo Associates,Behavioral Health,West
PR0022,"Watts, Robinson and Nguyen Health",Endocrinology,Midwest
PR0023,Perez Inc Associates,Primary Care,Southeast
PR0024,Morales-Jones Associates,Endocrinology,Southeast
PR0025,"Walter, Edwards and Rios Clinic",Radiology,Southeast
PR0026,Wilkerson-Day Clinic,Oncology,West
PR0027,Baker and Sons Clinic,Cardiology,Southwest
PR0028,"Hoffman, Baker and Richards Clinic",Cardiology,Southwest
PR0029,"Ross, Robinson and Bright Clinic",Endocrinology,Southwest
PR0030,"Snyder, Campos and Callahan Clinic",Nephrology,West
PR0031,Burton Ltd Health,Cardiology,West
PR0032,Carlson-Cruz Clinic,Endocrinology,Northeast
PR0033,"Ferrell, Rice and Maddox Medical Group",Nephrology,West
PR0034,Frazier Inc Medical Group,Primary Care,Northeast
PR0035,"Dyer, Potter and Mack Medical Group",Endocrinology,Southwest
PR0036,Rodriguez-Graham Associates,Endocrinology,Midwest
PR0037,Smith-Bowen Medical Group,Orthopedics,Midwest
PR0038,"Baker, Mason and White Medical Group",Orthopedics,Midwest
PR0039,Harrell LLC Clinic,Emergency Medicine,Southeast
PR0040,"Romero, Gonzalez and Brooks Associates",Nephrology,Northeast
PR0041,Ryan PLC Associates,Endocrinology,Southeast
PR0042,George Group Associates,Primary Care,West
PR0043,Rodriguez LLC Associates,Orthopedics,Midwest
PR0044,Allen-Allen Medical Group,Orthopedics,Midwest
PR0045,"Arroyo, Miller and Tucker Health",Emergency Medicine,Midwest
PR0046,Spence PLC Medical Group,Primary Care,Southeast
PR0047,Anderson Group Health,Behavioral Health,Midwest
PR0048,"Martin, Rose and Obrien Health",Nephrology,Southeast
